"id","state","level","name_formal","official_count","election_frequency","term_length","election_expire_date","cdem_tot","crep_tot","odem_tot","orep_tot","retu_tot","wfor_tot","emai_tot","yfcb_tot","ytwi_tot","yins_tot","ylkn_tot"
32,"NC","locality","Charlotte Mayor",1,"2 years","2 years","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","1"
88,"IN","administrativeArea2","Mayor of Indianapolis",1,"4 yrs","","2019-11-05 00:00:00+00","1","0","1","0","1","1","0","1","1","1","0"
179,"OH","locality","Columbus Mayor",1,"","","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","0"
492,"PA","locality","Philadelphia Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","0"
515,"WA","locality","Spokane Mayor",1,"","","2019-11-05 00:00:00+00","0","0","0","0","0","1","0","1","1","0","1"
694,"PA","administrativeArea2","Allegheny County Executive",1,"","","2019-11-05 00:00:00+00","1","0","1","0","1","1","1","1","1","1","0"
1450,"LA","administrativeArea1","Louisiana State Senate",39,"4 years","4 years","2019-11-16 00:00:00+00","12","27","15","24","19","1","39","37","17","6","8"
1477,"MS","administrativeArea1","Mississippi State Senate",52,"4 years","4 years","2019-11-05 00:00:00+00","17","35","20","30","38","0","51","43","22","9","17"
1498,"FL","locality","Miami City Commission",5,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","5","5","4","4","1"
1545,"VA","administrativeArea1","Senate of Virginia",40,"4 years","4 years","2019-11-05 00:00:00+00","21","19","19","20","35","2","40","39","31","20","9"
1571,"WA","locality","Spokane City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","7","6","6","3","4"
1628,"PA","locality","Harrisburg City Council",7,"","4 years","2019-11-05 00:00:00+00","4","0","4","0","7","0","7","6","3","0","3"
1633,"PA","administrativeArea2","Chester County Commissioners",3,"4 years","4 years","2019-11-05 00:00:00+00","2","1","1","2","1","0","3","3","3","2","2"
1635,"PA","administrativeArea2","Montgomery County Commissioners",3,"4 years","4 years","2019-11-05 00:00:00+00","2","1","2","1","3","0","3","3","3","2","2"
2315,"PA","locality","Philadelphia Register of Wills",1,"","","2019-11-05 00:00:00+00","1","0","0","0","0","0","0","1","1","1","0"
2316,"PA","locality","Philadelphia Sheriff",1,"","","2019-11-05 00:00:00+00","1","0","0","0","0","0","1","1","1","1","0"
2466,"MS","administrativeArea1","Mississippi House of Representatives",122,"4 years","4 years","2019-11-05 00:00:00+00","49","72","48","72","97","0","120","101","29","11","26"
2487,"VA","administrativeArea1","Virginia House of Delegates",100,"2 years","2 years","2019-11-05 00:00:00+00","55","45","48","51","0","0","100","94","84","41","28"
2548,"PA","administrativeArea2","Montgomery County Controller",1,"","","2019-11-05 00:00:00+00","1","0","1","0","1","0","0","1","1","0","1"
2549,"PA","administrativeArea2","Montgomery County District Attorney",1,"","","2019-11-05 00:00:00+00","0","1","0","1","1","0","0","1","1","0","1"
2570,"KY","administrativeArea1","Kentucky Lieutenant Governor",1,"","","2019-11-05 00:00:00+00","1","0","0","1","0","1","0","1","1","1","1"
2637,"CA","locality","San Francisco Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","1","1","1","1","1","0"
2777,"OH","locality","Akron City Council",13,"4 years","4 years","2019-11-05 00:00:00+00","8","0","13","0","8","13","13","12","3","1","5"
2814,"TX","locality","Houston City Council",16,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","9","0","16","16","11","7","5"
2979,"SC",NULL,"Greenville City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","3","1","1","0","3","0","6","6","4","1","5"
2980,"SC",NULL,"Greenville Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","0","1","0","1"
3019,"IN",NULL,"Evansville Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","1","1","1","1","1","1"
3035,"SC",NULL,"Columbia City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","6","6","6","2","2"
3038,"SC",NULL,"Charleston Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","1"
3040,"SC","locality","Charleston City Council",12,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","8","0","12","11","6","4","4"
3216,"CT",NULL,"Bridgeport Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","1"
3361,"TX",NULL,"Wichita Falls City Council",7,"1 year","2 years","2019-11-05 00:00:00+00","0","1","0","1","6","0","7","5","1","0","2"
3374,"CO",NULL,"Lakewood City Council",11,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","10","0","11","9","3","0","6"
3541,"SC",NULL,"North Charleston City Council",10,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","9","0","10","5","1","0","2"
3542,"SC",NULL,"Mayor of North Charleston",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","0","0"
3559,"NH",NULL,"Manchester Mayor",1,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","1","1","1","1","1","1","0"
3564,"MA",NULL,"Cambridge City Council",9,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","7","0","9","9","9","7","6"
3584,"CT",NULL,"Mayor of the City of Waterbury",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","1"
3622,"CO",NULL,"Arvada City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","7","7","5","0","6"
3662,"NC",NULL,"High Point City Council",9,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","9","9","2","0","3"
3698,"UT",NULL,"West Valley City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","7","7","0","5","2","0","3"
3786,"CT",NULL,"Hartford Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","1","0","1","1","1","1"
3821,"KS",NULL,"Overland Park City Council",13,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","10","0","13","10","6","0","5"
3831,"ID",NULL,"Boise City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","6","6","6","6","4","6"
3832,"ID",NULL,"Boise Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","1","1","1","1","1"
3874,"IN",NULL,"South Bend Common Council",9,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","9","9","5","0","8"
3875,"IN",NULL,"Mayor of South Bend",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","0","0","0","0","1","1","1","0","1"
3895,"OH",NULL,"Dayton City Commission",5,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","5","5","5","2","5"
4012,"CT",NULL,"Hartford Court of Common Council",9,"2 years","4 years","2019-11-05 00:00:00+00","7","0","6","0","5","9","9","8","4","1","7"
4022,"WA",NULL,"Everett City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","7","0","7","5","2","0","6"
4044,"KS",NULL,"Olathe City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","7","7","4","3","0","5"
4083,"CO",NULL,"Pueblo City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","5","2","0","3"
4107,"WA",NULL,"Renton City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","7","6","2","2","4"
4137,"KS",NULL,"Kansas City Board of Commissioners",10,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","9","0","10","9","2","0","6"
4158,"CO","locality","Boulder City Council",9,"2 years","4 years and 2 years (for 5th member elected each election)","2019-11-05 00:00:00+00","0","0","0","0","5","0","9","7","5","3","6"
4163,"CO",NULL,"Thornton City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","9","8","4","0","5"
4164,"MI",NULL,"Sterling Heights City Council",7,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","7","0","7","5","3","2","5"
4176,"NH",NULL,"Manchester Board of Aldermen",14,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","10","14","11","11","3","0","3"
4181,"IN",NULL,"Gary Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","0","1","1","0","0"
4182,"IN",NULL,"Gary Common Council",9,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","9","4","3","1","2","1"
4184,"IN",NULL,"Munster Town Council",5,"4 years","4 years","2019-11-05 00:00:00+00","2","3","0","2","2","0","5","4","1","1","1"
4292,"NY","locality","Rochester City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","9","7","4","3","1"
4297,"NJ",NULL,"Woodbridge Township Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","9","0","9","6","2","0","4"
4299,"UT",NULL,"Provo City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","3","0","7","6","3","1","5"
4305,"PA","administrativeArea2","Allegheny County Controller",1,"","","2019-11-05 00:00:00+00","1","0","1","0","1","1","0","1","1","1","1"
4319,"WA","administrativeArea2","King County Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","8","0","8","9","7","5","3"
4320,"TN",NULL,"Knoxville Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","1","1","1","1","0"
4330,"VA",NULL,"Arlington County Board",5,"Annually","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","5","5","5","1","5"
4332,"MI","locality","Lansing City Council",8,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","7","0","8","8","3","1","3"
4336,"MA","locality","Boston City Council",13,"2 years","2 years","2019-11-05 00:00:00+00","13","0","12","0","9","0","13","12","10","9","5"
4340,"MA",NULL,"Worcester City Council",11,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","10","0","11","10","8","1","6"
4341,"NJ",NULL,"Edison Township Council",7,"2 years","4 years","2019-11-05 00:00:00+00","7","0","5","0","5","0","7","5","0","2","4"
4350,"KS",NULL,"Topeka City Council",10,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","1","10","7","1","0","5"
4363,"NC",NULL,"Cary Town Council",7,"2 years","4 years","2019-10-08 00:00:00+00","0","0","0","0","6","0","7","7","5","2","4"
4371,"NC",NULL,"Fayetteville City Council",10,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","10","9","8","3","4"
4392,"TN",NULL,"Knoxville City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","4","0","9","9","2","0","0"
4404,"MA",NULL,"Lowell City Council",9,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","6","9","0","7","6","0","1"
4406,"NC",NULL,"Wilmington City Council",7,"2 years","4 years (2 years for mayor)","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","7","2","1","4"
4407,"KS","locality","Wichita Mayor",1,"","","2019-11-05 00:00:00+00","0","0","0","0","0","0","1","1","1","1","0"
4411,"NJ","administrativeArea1","New Jersey General Assembly",80,"2 years","2 years","2019-11-05 00:00:00+00","52","28","54","26","72","80","80","74","59","38","50"
4427,"NY",NULL,"Yonkers City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","7","4","6","3"
4428,"MT",NULL,"Billings City Council",10,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","10","8","2","1","3"
4453,"KY","administrativeArea1","Kentucky Governor",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","0","1","0","1","0","1","1","1","0"
4485,"TX","locality","Houston Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","0"
4487,"NY","locality","Syracuse Common Council",10,"2 years","2-4 years","2019-11-05 00:00:00+00","3","0","0","0","7","0","9","9","3","0","1"
4490,"PA","administrativeArea2","Allegheny County Council",15,"2 years","4 years","2019-11-05 00:00:00+00","12","3","11","4","12","15","13","12","7","5","6"
4494,"IN","administrativeArea2","Indianapolis and Marion County City-County Council",25,"4 years","4 years","2019-11-05 00:00:00+00","20","5","13","11","14","0","25","25","20","9","15"
4524,"LA",NULL,"Lafayette Mayor-President",1,"4 years","4 years","2019-10-12 00:00:00+00","0","1","0","0","0","0","1","0","1","0","0"
4565,"IN",NULL,"Fort Wayne Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","1","1","1","1","1","1"
4566,"IN",NULL,"Fort Wayne City Council",9,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","1","6","0","9","8","1","1","4"
4586,"OH","locality","Columbus City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","7","0","7","6","6","4","6"
4642,"WA",NULL,"Mayor of Renton",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","1","1","0","0","1"
4649,"AZ","locality","Tucson City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","6","0","6","0","4","6","6","5","5","2","3"
4650,"AZ","locality","Tucson Mayor",1,"","","2019-11-05 00:00:00+00","1","0","1","0","0","1","1","1","1","1","1"
4678,"CO",NULL,"Westminster City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","7","6","4","0","6"
4679,"CT",NULL,"Bridgeport City Council",20,"2 years","2 years","2019-11-05 00:00:00+00","20","0","20","0","14","0","20","12","3","1","7"
4680,"CT",NULL,"New Haven Board of Alders",30,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","24","30","30","20","4","3","3"
4681,"CT",NULL,"New Haven Mayor",1,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","0","1","1","1","0"
4693,"IA",NULL,"Davenport City Council",10,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","10","7","3","0","3"
4694,"IA",NULL,"Mayor of Davenport",1,"2 years","2 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","1","1","1","0","1"
4696,"MN","locality","St. Paul City Council",7,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","7","6","2","4"
4701,"NJ","locality","Atlantic City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","2","1","5","1","6","0","6","2","2","0","0"
4715,"OH","locality","Akron Mayor",1,"","","2019-11-05 00:00:00+00","1","0","1","0","1","0","1","1","1","1","1"
4741,"TX",NULL,"College Station City Council",7,"1 year","3 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","6","4","2","0","4"
4945,"KS","locality","Wichita City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","6","6","6","1","5"
4950,"CT",NULL,"Waterbury Board of Aldermen",15,"2 years","2 years","2019-11-05 00:00:00+00","10","5","10","5","13","0","15","11","1","3","9"
4952,"MA",NULL,"Springfield City Council",14,"2 years","2 years","2019-11-05 00:00:00+00","1","0","0","0","11","0","13","12","3","3","6"
4955,"MI","locality","Grand Rapids City Commission",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","5","3","1","3"
4956,"IA",NULL,"Cedar Rapids City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","8","0","9","7","1","1","8"
4958,"SC",NULL,"Myrtle Beach City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","6","5","2","1","4"
4970,"FL",NULL,"Hialeah City Council",7,"2 years","4 years","2019-11-12 00:00:00+00","0","0","0","0","3","0","7","5","4","4","2"
4971,"PA","locality","Erie City Council",7,"2","4 years","2019-11-05 00:00:00+00","0","0","3","0","4","0","7","6","2","0","3"
5246,"FL","locality","Orlando City Council",6,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","6","6","5","3","5"
5277,"TN","locality","Memphis Mayor",1,"4 years","","2019-10-03 00:00:00+00","0","0","0","0","1","0","1","1","1","1","0"
5278,"TN","locality","Memphis City Council",13,"4 years","4 years","2019-10-03 00:00:00+00","0","0","0","0","7","0","13","13","8","6","7"
5293,"NY",NULL,"Albany County Executive",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","1"
5306,"NY",NULL,"Albany County Legislature",39,"4 years","4 years","2019-11-05 00:00:00+00","24","5","21","5","28","0","36","29","13","9","11"
5310,"WA",NULL,"Kent City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","5","4","2","3"
5313,"PA","administrativeArea2","Chester County District Attorney",1,"","","2019-11-05 00:00:00+00","1","0","0","1","0","0","0","1","1","0","0"
5317,"NM","locality","Las Cruces City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","7","7","3","5","3"
5318,"PA","locality","Philadelphia City Commissioners",3,"","","2019-11-05 00:00:00+00","2","1","2","1","2","0","3","3","2","2","2"
5370,"NM","locality","Albuquerque City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","7","9","9","7","4","2","4"
5371,"IN",NULL,"Common Council of Evansville",9,"4 years","4 years","2019-11-05 00:00:00+00","4","1","0","0","4","0","9","8","5","0","3"
5381,"LA","administrativeArea1","Louisiana Lieutenant Governor",1,"","","2019-11-16 00:00:00+00","0","1","0","1","1","1","1","1","1","1","1"
5441,"FL","locality","Orlando Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","0","1"
5442,"NC",NULL,"Durham City Council",7,"2 years","4 years (2 years for Mayor)","2019-11-05 00:00:00+00","0","0","0","0","7","0","7","7","7","5","5"
5447,"UT",NULL,"West Jordan Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","1","1","1","0","0","1"
5449,"MS","administrativeArea1","Mississippi Lieutenant Governor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","1","0","1","0","0","1","1","1","1","1"
5451,"CO","locality","Aurora Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","1","0","0","0","0","1","1","0","0","0"
5452,"CO","locality","Aurora City Council",10,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","10","10","9","7","10"
5454,"NY",NULL,"Yonkers Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","0"
5455,"NY","locality","Buffalo Common Council",9,"4 years","4 years","2019-11-05 00:00:00+00","7","0","9","0","7","0","9","9","6","0","2"
5457,"MI",NULL,"Warren City Council",7,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","7","5","0","0","2"
5458,"MI",NULL,"Mayor of Warren",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","1","1","1"
5460,"FL","locality","St. Petersburg City Council",8,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","8","7","5","3","6"
5463,"PA","administrativeArea2","Delaware County District Attorney",1,"4 years","4 years","2019-11-05 00:00:00+00","1","0","0","1","0","1","0","1","0","0","1"
5464,"NJ",NULL,"Mayor of Woodbridge Township",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","1","1","0","1","1"
5466,"CO",NULL,"Greeley City Council",7,"2 years","4 years (2 years for Mayor)","2019-11-05 00:00:00+00","0","0","0","0","4","0","7","7","2","0","2"
5467,"TX",NULL,"Midland City Council",7,"1 year","3 years","2019-11-05 00:00:00+00","0","0","0","0","3","0","7","6","1","0","4"
5470,"UT",NULL,"West Jordan City Council",7,"2 years","2 years, 4 years","2019-11-05 00:00:00+00","0","0","0","0","4","4","4","2","1","0","1"
5472,"LA",NULL,"Lafayette City Council",5,"4 years","4 years","2019-10-12 00:00:00+00","1","2","0","0","0","0","5","5","1","0","2"
5473,"LA","administrativeArea1","Louisiana Governor",1,"4 years","4 years","2019-11-16 00:00:00+00","1","0","1","0","1","1","0","1","1","1","1"
5474,"LA","administrativeArea1","Louisiana House of Representatives",105,"4 years","4 years","2019-11-16 00:00:00+00","35","68","41","59","60","0","104","98","65","18","53"
5479,"GA",NULL,"Savannah Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","1","1","1","1","1"
5480,"GA",NULL,"Savannah City Council",8,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","1","0","8","7","4","2","1"
5483,"NC","locality","Raleigh City Council",7,"2 years","2 years","2019-10-08 00:00:00+00","0","0","0","0","3","0","7","7","7","6","6"
5484,"NC","locality","Raleigh Mayor",1,"2 years","2 years","2019-10-08 00:00:00+00","0","0","0","0","0","0","1","1","1","1","1"
5497,"VA",NULL,"Loudoun County Board of Supervisors",9,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","9","9","5","2","5"
5498,"VA",NULL,"Fairfax County Board of Supervisors",10,"4 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","10","10","10","3","8"
5505,"TX",NULL,"Mesquite City Council",7,"1 year","2 years","2019-11-05 00:00:00+00","0","0","0","0","0","0","7","7","2","0","0"
5509,"WA","locality","Tacoma City Council",8,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","8","7","4","1","5"
5511,"WA",NULL,"Vancouver City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","6","4","3","5"
5512,"UT","locality","Salt Lake City Mayor",1,"4 years","4 years","2019-11-05 00:00:00+00","0","0","1","0","0","0","1","1","1","1","1"
5513,"PA","administrativeArea2","Dauphin County Commissioners",3,"","4 years","2019-11-05 00:00:00+00","0","0","0","0","3","0","3","3","2","0","0"
5514,"CO",NULL,"Centennial City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","9","9","2","0","6"
5515,"WA",NULL,"Bellevue City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","7","3","0","6"
5518,"PA","locality","Philadelphia City Council",17,"4 years","4 years","2019-11-05 00:00:00+00","14","2","14","3","13","13","10","17","16","15","3"
5519,"MS","administrativeArea1","Mississippi Governor",1,"4 years","","2019-11-05 00:00:00+00","0","1","0","1","0","0","0","1","1","1","0"
5520,"PA","administrativeArea2","Delaware County Council",5,"2 years","4 years","2019-11-05 00:00:00+00","5","0","2","3","2","0","5","5","0","0","2"
5522,"OH","locality","Toledo City Council",12,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","9","0","12","10","3","1","2"
5523,"PA","locality","Pittsburgh City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","1","0","0","0","8","8","4","9","7","2","4"
5545,"PA","locality","Allentown City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","5","7","6","3","0","3"
5546,"NC","locality","Charlotte City Council",11,"2 years","2 years","2019-11-05 00:00:00+00","9","2","8","2","8","0","11","11","8","5","10"
5547,"FL",NULL,"Lakeland City Commission",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","7","5","4","6"
5549,"WA","locality","Seattle City Council",9,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","9","9","8","6","7"
5552,"IA",NULL,"Des Moines City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","6","0","7","6","5","3","4"
5553,"PA","administrativeArea2","Bucks County Commissioners",3,"4 years","4 years","2019-11-05 00:00:00+00","2","1","1","2","1","0","3","2","0","0","0"
5556,"UT","locality","Salt Lake City Council",7,"2 years","4 years","2019-11-05 00:00:00+00","0","0","0","0","5","0","7","7","5","3","5"
